Date,TotalPriceChecks,RidesRequests,Unfulfilled Requests,RidesBoarded-Detailed
1/26/2025 0:16:10,246,156,58,98
1/26/2025 1:56:29,144,101,50,51
1/26/2025 2:17:27,121,91,46,45
1/26/2025 3:54:27,188,125,85,40
1/26/2025 4:28:49,187,121,93,28
1/26/2025 5:30:20,196,144,115,29
1/26/2025 6:25:38,476,335,278,57
1/26/2025 7:32:51,703,549,410,139
1/26/2025 8:30:43,339,271,103,168
1/26/2025 9:33:12,356,266,97,169
1/26/2025 10:38:41,302,261,90,171
1/26/2025 11:49:40,314,253,86,167
1/26/2025 12:56:27,420,351,175,176
1/26/2025 13:16:31,436,365,188,177
1/26/2025 14:23:50,343,280,127,153
1/26/2025 15:38:33,424,327,158,169
1/26/2025 16:20:48,469,378,175,203
1/26/2025 17:49:49,433,379,139,240
1/26/2025 18:25:05,414,312,109,203
1/26/2025 19:47:05,428,301,93,208
1/26/2025 20:37:17,411,338,138,200
1/26/2025 21:50:09,400,323,138,185
1/26/2025 22:16:07,340,268,123,145
1/26/2025 23:35:06,297,237,109,128
1/27/2025 0:15:30,234,189,106,83
1/27/2025 1:51:16,143,114,55,59
1/27/2025 2:05:25,107,77,42,35
1/27/2025 3:12:14,208,134,104,30
1/27/2025 4:02:37,166,121,95,26
1/27/2025 5:14:38,245,163,144,19
1/27/2025 6:12:38,434,426,369,57
1/27/2025 7:19:49,778,759,632,127
1/27/2025 8:50:23,388,378,207,171
1/27/2025 9:02:07,404,379,176,203
1/27/2025 10:39:53,409,340,132,208
1/27/2025 11:34:56,422,355,151,204
1/27/2025 12:23:50,422,483,317,166
1/27/2025 13:04:53,524,559,377,182
1/27/2025 14:41:20,429,430,263,167
1/27/2025 15:49:14,503,460,269,191
1/27/2025 16:35:02,523,487,288,199
1/27/2025 17:46:26,520,468,237,231
1/27/2025 18:18:56,476,472,248,224
1/27/2025 19:56:28,468,377,148,229
1/27/2025 20:08:43,531,498,272,226
1/27/2025 21:13:12,461,410,184,226
1/27/2025 22:46:48,448,367,173,194
1/27/2025 23:42:29,371,342,176,166
1/28/2025 0:35:18,293,232,118,114
1/28/2025 1:30:52,176,121,58,63
1/28/2025 2:35:55,139,96,51,45
1/28/2025 3:27:22,196,147,110,37
1/28/2025 4:10:45,199,147,119,28
1/28/2025 5:37:09,222,194,172,22
1/28/2025 6:48:27,389,372,318,54
1/28/2025 7:49:07,697,648,530,118
1/28/2025 8:03:29,365,328,169,159
1/28/2025 9:10:20,331,270,107,163
1/28/2025 10:19:26,365,326,141,185
1/28/2025 11:47:37,412,374,193,181
1/28/2025 12:10:18,435,476,298,178
